Artist,Song,Original Name,Original Row
Eagles,Take It to the Limit,Eagles - Take It to the Limit.ogg,2863
Stereophonics,Violins and Tambourines,Stereophonics - Violins and Tambourines (audio sample).ogg,8445
Marilyn Manson,Coma White,Marilyn Manson - Coma White.ogg,5957
Queensryche,Silent Lucidity,Queensryche - Silent Lucidity.ogg,7271
Madonna,Hold Tight,Madonna - Hold Tight.ogg,5747
Meshuggah,Bleed,Meshuggah - Bleed.ogg,6100
Nas,The Don,Nas - The Don.ogg,6532
Janet Jackson,Rhythm Nation,Janet Jackson - Rhythm Nation.ogg,4482
Linkin Park,Paper Cut,Linkin Park - Paper Cut (sample).ogg,5457
Christina Aguilera,What a Girl Wants,Christina Aguilera - What a Girl Wants (Song sample).ogg,2068
Taylor Swift,All Too Well,All Too Well (10 Minute Version) by Taylor Swift.ogg,489
Smashing Pumpkins,Cherub Rock,Smashing Pumpkins - Cherub Rock.ogg,8263
Antestor,Rites of Death,Antestor - Rites of Death.ogg,619
AFI,Medicate,AFI - Medicate.ogg,260
Crayon Pop,Uh-ee,Crayon Pop - Uh-ee.ogg,2273
Michael Jackson,Billie Jean,Michael Jackson - Billie Jean.ogg,6128
Mutya Keisha Siobhan,Flatline,Mutya Keisha Siobhan - Flatline.ogg,6466
N.W.A,Gangsta Gangsta,N.W.A - Gangsta Gangsta.ogg,6497
David Bowie,Life on Mars,David Bowie - Life on Mars.ogg,2417
Sly Fox,Let's Go All The Way,Sly Fox - Let's Go All The Way.ogg,8255
Chicago,25 or 6 to 4,Chicago - 25 or 6 to 4.ogg,2015
Rihanna,Nobody's Business,Rihanna - Nobody's Business.ogg,7555
Super Furry Animals,Y Gwyneb Iau,Super Furry Animals - Y Gwyneb Iau.ogg,8592
Tiesto,Just Be,Tiesto - Just Be.ogg,9284
Rihanna,Birthday Cake,Rihanna - Birthday Cake.ogg,7538
Eagles,Hotel California,Eagles - Hotel California.ogg,2859
The Byrds,Chimes Of Freedom,The Byrds - Chimes Of Freedom.ogg,8927
Ke$ha,Die Young,Ke$ha - Die Young (Audio).ogg,4921
Cher,Love One Another,Cher - Love One Another.ogg,1999
Beyonce,Jealous,Beyonce - Jealous sample.ogg,1281
The Black Crowes,Virtue and Vice,The Black Crowes - Virtue and Vice.ogg,8904
Silent Civilian,Rebirth of the Temple,Silent Civilian - Rebirth of the Temple.ogg,8113
Metallica,King Nothing,Metallica - King Nothing.ogg,6114
Boston,Long Time,Long Time by Boston.ogg,5518
Green Day,21 Guns,Green Day - 21 Guns.ogg,3705
Richard Marx,Hold On to the Nights,Richard Marx - Hold On to the Nights.ogg,7475
Rise Against,Give It All,Rise Against - Give It All.ogg,7607
Bob Dylan,Blowin' in the Wind,Bob Dylan - Blowin' in the Wind.ogg,1494
Ricky Martin,María,Ricky Martin - María sample.ogg,7504
Daft Punk,Around The World,Daft Punk - Around The World (LP Version).ogg,2339
Amine,J'voulais,Amine - J'voulais.ogg,546
Beach Boys,Good Vibrations,Beach Boys - Good Vibrations.ogg,1021
Regine Velasquez,On The Wings Of Love,Regine Velasquez - On The Wings Of Love.ogg,7435
