Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genres,Artist,Song
0.435,0.423,11,-8.795,1,0.024,0.0916,0.000659,0.132,0.451,91.137,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",Eagles,Take It to the Limit
0.369,0.422,0,-8.407,1,0.0348,0.485,0.106,0.112,0.134,155.931,"britpop, modern rock, welsh rock",Stereophonics,Violins and Tambourines
0.347,0.741,9,-7.937,0,0.0324,6.73e-06,0.115,0.267,0.0994,159.918,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",Marilyn Manson,Coma White
0.461,0.627,7,-5.659,1,0.0274,0.0528,0.000276,0.12,0.0977,140.04,"album rock, glam metal, hard rock, metal, progressive metal, us power metal",Queensryche,Silent Lucidity
0.652,0.73,6,-6.512,0,0.0535,0.00363,0.0193,0.531,0.284,126.599,"dance pop, pop",Madonna,Hold Tight
0.248,0.995,4,-5.499,1,0.0861,6.13e-06,0.892,0.284,0.216,114.967,"alternative metal, djent, groove metal, metal, nu metal, progressive groove metal, swedish metal, technical groove metal, technical thrash",Meshuggah,Bleed
0.45,0.661,5,-8.537,1,0.0411,0.396,0.0362,0.0912,0.476,173.909,"chamber pop, indie folk, indie rock, indietronica, modern rock",Nas,The Don
0.633,0.931,1,-7.752,1,0.0686,0.0504,0.109,0.375,0.676,109.116,"dance pop, r&b, urban contemporary",Janet Jackson,Rhythm Nation
0.754,0.819,0,-6.833,1,0.112,0.0684,0.0,0.345,0.818,142.137,"dance pop, pop",Christina Aguilera,What a Girl Wants
0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,pop,Taylor Swift,All Too Well
0.382,0.867,9,-7.426,1,0.0399,5.91e-06,0.581,0.196,0.453,87.309,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",Smashing Pumpkins,Cherub Rock
0.45,0.958,9,-5.246,0,0.218,8.01e-05,0.708,0.102,0.165,120.17,"christian doom metal, christian metal, norwegian doom metal, norwegian metal, unblack metal",Antestor,Rites of Death
0.181,0.95,8,-3.514,0,0.133,0.000239,1.16e-06,0.233,0.44,184.685,"alternative metal, nu metal, pop punk, post-grunge, punk, screamo",AFI,Medicate
0.804,0.988,1,-2.998,1,0.0444,0.00218,0.0571,0.0671,0.836,145.041,"k-pop, k-pop girl group",Crayon Pop,Uh-ee
0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,"r&b, soul",Michael Jackson,Billie Jean
0.894,0.698,6,-8.264,0,0.275,0.0279,3.56e-06,0.329,0.695,98.104,"conscious hip hop, gangster rap, golden age hip hop, hip hop, old school hip hop, rap, west coast rap",N.W.A,Gangsta Gangsta
0.445,0.384,10,-14.642,1,0.0417,0.635,7.74e-05,0.0539,0.216,123.295,"art rock, classic rock, glam rock, permanent wave, rock",David Bowie,Life on Mars
0.633,0.714,5,-13.574,1,0.0325,0.193,0.000307,0.296,0.865,98.149,,Sly Fox,Let's Go All The Way
0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",Chicago,25 or 6 to 4
0.741,0.599,1,-5.792,0,0.0413,0.0362,0.0,0.0561,0.514,109.231,"barbadian pop, pop, urban contemporary",Rihanna,Nobody's Business
0.551,0.381,7,-8.699,1,0.0274,0.414,0.161,0.115,0.415,138.467,"britpop, welsh indie, welsh rock",Super Furry Animals,Y Gwyneb Iau
0.62,0.832,9,-9.651,0,0.0335,3.05e-05,0.438,0.128,0.39,134.959,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance",Tiesto,Just Be
0.702,0.826,3,-6.498,1,0.0533,0.314,0.000227,0.355,0.328,80.011,"barbadian pop, pop, urban contemporary",Rihanna,Birthday Cake
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",Eagles,Hotel California
0.552,0.57,7,-10.332,1,0.0349,0.619,0.0,0.397,0.26,127.056,"album rock, beatlesque, classic rock, cosmic american, country rock, folk, folk rock, mellow gold, psychedelic rock, rock, soft rock",The Byrds,Chimes Of Freedom
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,"dance pop, pop",Ke$ha,Die Young
0.551,0.886,0,-4.635,0,0.0542,0.203,0.0,0.0885,0.704,128.981,"dance pop, pop",Cher,Love One Another
0.452,0.54,8,-10.087,1,0.229,0.122,0.00462,0.0882,0.227,133.774,"pop, r&b",Beyonce,Jealous
0.327,0.909,2,-3.78,1,0.0489,0.0365,0.0,0.0753,0.433,165.771,"album rock, blues rock, classic rock, electric blues, hard rock, jam band, rock, southern rock",The Black Crowes,Virtue and Vice
0.491,0.972,2,-3.642,0,0.102,0.000117,1.46e-05,0.389,0.213,101.531,"groove metal, melodic metalcore",Silent Civilian,Rebirth of the Temple
0.528,0.909,8,-5.712,1,0.0381,7.77e-05,0.00959,0.0891,0.349,112.083,"hard rock, metal, old school thrash, rock, thrash metal",Metallica,King Nothing
0.435,0.657,5,-8.868,1,0.0545,0.00983,0.00748,0.0923,0.209,118.704,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",Boston,Long Time
0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,"modern rock, permanent wave, punk, rock",Green Day,21 Guns
0.353,0.207,0,-14.718,0,0.0306,0.656,0.0,0.0874,0.184,144.539,"new wave pop, soft rock",Richard Marx,Hold On to the Nights
0.582,0.942,2,-3.098,1,0.0637,0.000371,0.004,0.078,0.357,103.057,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",Rise Against,Give It All
0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",Bob Dylan,Blowin' in the Wind
0.723,0.914,7,-5.598,0,0.0663,0.0726,2.12e-05,0.95,0.968,101.181,"latin pop, mexican pop, puerto rican pop",Ricky Martin,María
0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,"electro, filter house, rock",Daft Punk,Around The World
0.743,0.929,4,-2.776,0,0.0553,0.207,0.0,0.127,0.772,110.015,french pop,Amine,J'voulais
0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop",Beach Boys,Good Vibrations
0.483,0.453,1,-10.609,1,0.0282,0.315,1.2e-05,0.143,0.256,139.867,opm,Regine Velasquez,On The Wings Of Love
0.49,0.928,7,-6.102,1,0.0358,0.000205,0.0,0.0876,0.673,93.19,"hardcore punk, punk, skate punk",Descendents,Silly Girl
0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,"modern rock, permanent wave, punk, rock",Green Day,American Idiot
0.681,0.248,1,-17.465,0,0.0328,0.696,8.88e-06,0.0839,0.812,112.806,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",Kate Bush,Cloudbusting
0.504,0.779,7,-5.48,0,0.0402,0.0122,0.000501,0.0925,0.3,119.985,"alternative dance, electropop, indietronica, neo-synthpop, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop",Miike Snow,Silvia
0.49,0.603,9,-6.601,1,0.0801,0.154,0.0,0.116,0.395,103.576,"australian hip hop, dance pop, pop",Iggy Azalea,Impossible Is Nothing
0.738,0.804,10,-6.018,0,0.0608,0.197,0.0,0.297,0.791,109.045,pop,Miley Cyrus,Hoedown Throwdown
0.32,0.917,9,-5.903,1,0.0771,0.0717,0.0,0.169,0.715,190.757,pop rock,The Rembrandts,I'll Be There for You
0.725,0.625,9,-7.595,0,0.0741,0.318,0.0,0.0825,0.845,132.108,"bachata, latin hip hop, latin pop, trap latino, urbano latino",Romeo Santos,You
0.597,0.415,3,-13.799,1,0.0323,0.189,0.0,0.123,0.826,108.987,"adult standards, arkansas country, classic country pop, folk rock, mellow gold, nashville sound, singer-songwriter, soft rock",Glen Campbell,Gentle on My Mind
0.496,0.871,1,-6.267,0,0.0525,0.000958,0.000655,0.121,0.346,120.019,"british alternative rock, nintendocore, trancecore, uk metalcore, uk post-hardcore",Enter Shikari,Anything Can Happen in the Next Half Hour
0.734,0.826,1,-4.909,1,0.0349,0.00101,0.129,0.197,0.74,132.96,"barbadian pop, pop, urban contemporary",Rihanna,Shut Up and Drive
0.587,0.738,7,-4.469,1,0.0282,0.548,0.0,0.109,0.329,99.046,"british soul, dance pop, pop, talent show",Leona Lewis,I Got You
0.717,0.732,4,-4.985,1,0.0426,0.0394,0.0,0.136,0.708,119.996,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter",Sheryl Crow,Soak Up the Sun
0.421,0.831,4,-5.128,1,0.106,0.0283,0.0,0.464,0.488,134.184,"dance rock, modern alternative rock, modern rock, neo mellow, pop rock",Walk the Moon,Work This Body
0.641,0.781,2,-5.154,0,0.0258,0.237,0.0,0.33,0.45,94.477,"dance pop, post-teen pop",Jessica Simpson,Sweetest Sin
0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,pop,Taylor Swift,The Way I Loved You
0.367,0.685,4,-14.831,1,0.0464,0.00304,0.0478,0.109,0.854,154.953,"alternative rock, athens indie, permanent wave, rock",R.E.M.,Radio Free Europe
0.885,0.937,1,-0.678,0,0.0898,0.142,0.0,0.103,0.878,114.974,"k-pop, k-pop girl group",Girls' Generation,The Boys
