Node,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genres,Genres_cond
"('Take It to the Limit', 'Eagles')",0.435,0.423,11,-8.795,1,0.024,0.0916,0.000659,0.132,0.451,91.137,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",rock
"('Violins and Tambourines', 'Stereophonics')",0.369,0.422,0,-8.407,1,0.0348,0.485,0.106,0.112,0.134,155.931,"britpop, modern rock, welsh rock",rock
"('Coma White', 'Marilyn Manson')",0.347,0.741,9,-7.937,0,0.0324,6.73e-06,0.115,0.267,0.0994,159.918,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",rock
"('Silent Lucidity', 'Queensryche')",0.461,0.627,7,-5.659,1,0.0274,0.0528,0.000276,0.12,0.0977,140.04,"album rock, glam metal, hard rock, metal, progressive metal, us power metal",rock
"('Hold Tight', 'Madonna')",0.652,0.73,6,-6.512,0,0.0535,0.00363,0.0193,0.531,0.284,126.599,"dance pop, pop",pop
"('Bleed', 'Meshuggah')",0.248,0.995,4,-5.499,1,0.0861,6.13e-06,0.892,0.284,0.216,114.967,"alternative metal, djent, groove metal, metal, nu metal, progressive groove metal, swedish metal, technical groove metal, technical thrash",rock
"('The Don', 'Nas')",0.45,0.661,5,-8.537,1,0.0411,0.396,0.0362,0.0912,0.476,173.909,"chamber pop, indie folk, indie rock, indietronica, modern rock",rock
"('Rhythm Nation', 'Janet Jackson')",0.633,0.931,1,-7.752,1,0.0686,0.0504,0.109,0.375,0.676,109.116,"dance pop, r&b, urban contemporary",pop
"('What a Girl Wants', 'Christina Aguilera')",0.754,0.819,0,-6.833,1,0.112,0.0684,0.0,0.345,0.818,142.137,"dance pop, pop",pop
"('All Too Well', 'Taylor Swift')",0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,pop,pop
"('Cherub Rock', 'Smashing Pumpkins')",0.382,0.867,9,-7.426,1,0.0399,5.91e-06,0.581,0.196,0.453,87.309,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",rock
"('Rites of Death', 'Antestor')",0.45,0.958,9,-5.246,0,0.218,8.01e-05,0.708,0.102,0.165,120.17,"christian doom metal, christian metal, norwegian doom metal, norwegian metal, unblack metal",rock
"('Medicate', 'AFI')",0.181,0.95,8,-3.514,0,0.133,0.000239,1.16e-06,0.233,0.44,184.685,"alternative metal, nu metal, pop punk, post-grunge, punk, screamo",rock
"('Uh-ee', 'Crayon Pop')",0.804,0.988,1,-2.998,1,0.0444,0.00218,0.0571,0.0671,0.836,145.041,"k-pop, k-pop girl group",k-pop
"('Billie Jean', 'Michael Jackson')",0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,"r&b, soul",r&b
"('Gangsta Gangsta', 'N.W.A')",0.894,0.698,6,-8.264,0,0.275,0.0279,3.56e-06,0.329,0.695,98.104,"conscious hip hop, gangster rap, golden age hip hop, hip hop, old school hip hop, rap, west coast rap",rap
"('Life on Mars', 'David Bowie')",0.445,0.384,10,-14.642,1,0.0417,0.635,7.74e-05,0.0539,0.216,123.295,"art rock, classic rock, glam rock, permanent wave, rock",rock
"(""Let's Go All The Way"", 'Sly Fox')",0.633,0.714,5,-13.574,1,0.0325,0.193,0.000307,0.296,0.865,98.149,,other
"('25 or 6 to 4', 'Chicago')",0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",rock
"(""Nobody's Business"", 'Rihanna')",0.741,0.599,1,-5.792,0,0.0413,0.0362,0.0,0.0561,0.514,109.231,"barbadian pop, pop, urban contemporary",pop
"('Y Gwyneb Iau', 'Super Furry Animals')",0.551,0.381,7,-8.699,1,0.0274,0.414,0.161,0.115,0.415,138.467,"britpop, welsh indie, welsh rock",pop
"('Just Be', 'Tiesto')",0.62,0.832,9,-9.651,0,0.0335,3.05e-05,0.438,0.128,0.39,134.959,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance",edm
